,
,
,
,
,
,
,
,
,
,
color_code,color_name
akvamarin,Аквамарин
antratsit,Антрацит
aysberg,Айсберг
bambuk,Бамбук
belosnezhnyy,Белоснежный
belyy,Белый
bestsvetnyy,Бесцветный
brauni,Брауни
buk,Бук
dub,Дуб
dzhinsovyy,Джинсовый
eben,Эбен
el,Ель
grafit,Графит
granatovyy,Гранатовый
karamel,Карамель
krem_bryule,Крем-Брюле
listvennitsa,Лиственница
makhagon,Махагон
mindal,Миндаль
mozhzhevelnik,Можжевельник
orekh,Орех
orekh_gvarneri,Орех Гварнери
osenniy_klen,Осенний клен
palisandr,Палисандр
sandal,Сандал
seroe_nebo,Серое небо
seryy,Серый
sochnaya_dynya,Сочная дыня
tiffani,Тиффани
tik,Тик
toskana,Тоскана
tumannyy_les,Туманный лес
vanil,Ваниль
vishnya,Вишня
volna,Волна
